base_currency,quote_currency,bid,ask,midpoint
RUB,RUB,1,1,1
RUB,SEK,0.136062,0.136191,0.136126
RUB,SGD,0.0207215,0.0207382,0.0207298
RUB,THB,0.491233,0.49334,0.492286
RUB,TRY,0.0919986,0.0922261,0.0921124
RUB,TWD,0.46338,0.463999,0.46369
RUB,USD,0.0149913,0.0150006,0.014996
RUB,ZAR,0.222005,0.222311,0.222158
SEK,AUD,0.15629,0.156369,0.15633
SEK,BRL,0.426709,0.427122,0.426916
SEK,CAD,0.142524,0.142588,0.142556
SEK,CHF,0.109246,0.1093,0.109273
SEK,CNY,0.756298,0.756928,0.756613
SEK,DKK,0.713526,0.713922,0.713724
SEK,EUR,0.0956673,0.0956965,0.0956819
SEK,GBP,0.0841095,0.0841469,0.0841282
SEK,HKD,0.863012,0.863374,0.863193
SEK,INR,8.17609,8.1903,8.1832
SEK,JPY,12.5159,12.5212,12.5186
SEK,KRW,124.683,124.919,124.801
SEK,MXN,2.08701,2.08822,2.08762
SEK,MYR,0.457114,0.457702,0.457408
SEK,NOK,0.910598,0.911341,0.91097
SEK,NZD,0.171121,0.171216,0.171168
SEK,PLN,0.412324,0.412709,0.412516
SEK,RUB,7.34262,7.34958,7.3461
SEK,SEK,1,1,1
SEK,SGD,0.152245,0.152322,0.152284
SEK,THB,3.6092,3.62358,3.61639
SEK,TRY,0.675933,0.6774,0.676666
SEK,TWD,3.40455,3.40807,3.40631
SEK,USD,0.110144,0.110179,0.110162
SEK,ZAR,1.63112,1.63287,1.632
SGD,AUD,1.02638,1.02676,1.02657
SGD,BRL,2.80226,2.80458,2.80342
SGD,CAD,0.935978,0.936263,0.93612
SGD,CHF,0.717437,0.71769,0.717564
SGD,CNY,4.96673,4.97016,4.96844
SGD,DKK,4.68583,4.68777,4.6868
SGD,EUR,0.628231,0.628416,0.628324
SGD,GBP,0.55236,0.552528,0.552444
SGD,HKD,5.66753,5.66911,5.66832
SGD,INR,53.6937,53.7794,53.7366
SGD,JPY,82.1937,82.2173,82.2055
SGD,KRW,818.816,820.248,819.532
SGD,MXN,13.7057,13.7117,13.7087
SGD,MYR,3.00194,3.00538,3.00366
SGD,NOK,5.98004,5.98407,5.98206
SGD,NZD,1.12378,1.12425,1.12402
SGD,PLN,2.7078,2.70994,2.70887
SGD,RUB,48.2202,48.259,48.2396
SGD,SEK,6.56504,6.56835,6.5667
SGD,SGD,1,1,1
SGD,THB,23.7022,23.7933,23.7478
SGD,TRY,4.43896,4.44796,4.44346
SGD,TWD,22.3582,22.3782,22.3682
SGD,USD,0.723333,0.723463,0.723398
SGD,ZAR,10.7118,10.7218,10.7168
THB,AUD,0.0431453,0.0433113,0.0432283
THB,BRL,0.117797,0.118304,0.11805
THB,CAD,0.039345,0.039494,0.0394195
THB,CHF,0.0301584,0.030274,0.0302162
THB,CNY,0.208783,0.209654,0.209218
THB,DKK,0.196975,0.197743,0.197359
THB,EUR,0.0264085,0.0265082,0.0264584
THB,GBP,0.0232192,0.0233071,0.0232632
THB,HKD,0.238242,0.239138,0.23869
THB,INR,2.25708,2.26855,2.26282
THB,JPY,3.45512,3.46814,3.46163
THB,KRW,34.42,34.6002,34.5101
THB,MXN,0.576138,0.578397,0.577268
THB,MYR,0.12619,0.126775,0.126482
THB,NOK,0.251379,0.252424,0.251902
THB,NZD,0.0472396,0.0474236,0.0473316
THB,PLN,0.113826,0.114312,0.114069
THB,RUB,2.027,2.03569,2.03134
THB,SEK,0.27597,0.27707,0.27652
THB,SGD,0.0420287,0.0421902,0.0421094
THB,THB,1,1,1
THB,TRY,0.186598,0.187627,0.187112
THB,TWD,0.939856,0.94397,0.941913
THB,USD,0.0304062,0.0305176,0.0304619
THB,ZAR,0.450284,0.452274,0.451279
TRY,AUD,0.230795,0.231264,0.23103
TRY,BRL,0.630125,0.631695,0.63091
TRY,CAD,0.210467,0.210881,0.210674
TRY,CHF,0.161325,0.16165,0.161488
TRY,CNY,1.11683,1.11946,1.11814
TRY,DKK,1.05367,1.05586,1.05476
TRY,EUR,0.141266,0.141543,0.141404
TRY,GBP,0.124205,0.12445,0.124328
TRY,HKD,1.27442,1.27689,1.27566
TRY,INR,12.0737,12.1131,12.0934
TRY,JPY,18.4823,18.5184,18.5004
TRY,KRW,184.121,184.75,184.436
TRY,MXN,3.08191,3.08839,3.08515
TRY,MYR,0.675024,0.676922,0.675973
TRY,NOK,1.34469,1.34783,1.34626
TRY,NZD,0.252696,0.253222,0.252959
TRY,PLN,0.608882,0.61038,0.609631
TRY,RUB,10.8429,10.8697,10.8563
TRY,SEK,1.47623,1.47944,1.47784
TRY,SGD,0.224822,0.225278,0.22505
TRY,THB,5.32973,5.35913,5.34443
TRY,TRY,1,1,1
TRY,TWD,5.02753,5.0404,5.03396
TRY,USD,0.162651,0.162951,0.162801
TRY,ZAR,2.40868,2.41495,2.41182
TWD,AUD,0.0458736,0.0459147,0.0458942
TWD,BRL,0.125246,0.125416,0.125331
TWD,CAD,0.0418331,0.041868,0.0418506
TWD,CHF,0.0320655,0.0320938,0.0320796
TWD,CNY,0.221985,0.222257,0.222121
TWD,DKK,0.209431,0.209629,0.20953
TWD,EUR,0.0280785,0.0281016,0.02809
TWD,GBP,0.0246875,0.0247081,0.0246978
TWD,HKD,0.253308,0.253512,0.25341
TWD,INR,2.39981,2.40492,2.40236
TWD,JPY,3.67361,3.67661,3.67511
TWD,KRW,36.5966,36.68,36.6383
TWD,MXN,0.61257,0.613164,0.612867
TWD,MYR,0.13417,0.134395,0.134282
TWD,NOK,0.267275,0.267597,0.267436
TWD,NZD,0.0502268,0.0502743,0.0502506
TWD,PLN,0.121024,0.121184,0.121104
TWD,RUB,2.15518,2.15806,2.15662
TWD,SEK,0.293421,0.293725,0.293573
TWD,SGD,0.0446864,0.0447263,0.0447064
TWD,THB,1.05936,1.06399,1.06168
TWD,TRY,0.198397,0.198905,0.198651
TWD,TWD,1,1,1
TWD,USD,0.032329,0.032352,0.0323405
TWD,ZAR,0.478758,0.47946,0.479109
USD,AUD,1.41896,1.41922,1.41909
USD,BRL,3.8741,3.8766,3.87535
USD,CAD,1.29398,1.29414,1.29406
USD,CHF,0.99185,0.99202,0.991935
USD,CNY,6.86645,6.86995,6.8682
USD,DKK,6.47812,6.47963,6.47888
USD,EUR,0.868523,0.868621,0.868572
USD,GBP,0.763633,0.763726,0.76368
USD,HKD,7.83531,7.83607,7.83569
USD,INR,74.231,74.336,74.2835
USD,JPY,113.632,113.644,113.638
USD,KRW,1132,1133.78,1132.89
USD,MXN,18.948,18.9529,18.9504
USD,MYR,4.15015,4.15415,4.15215
USD,NOK,8.26735,8.27142,8.26938
USD,NZD,1.55362,1.55398,1.5538
USD,PLN,3.7435,3.74579,3.74464
USD,RUB,66.6639,66.7056,66.6848
USD,SEK,9.0761,9.07903,9.07756
USD,SGD,1.38224,1.38249,1.38236
USD,THB,32.768,32.888,32.828
USD,TRY,6.13682,6.14815,6.14248
USD,TWD,30.91,30.932,30.921
USD,USD,1,1,1
USD,ZAR,14.809,14.8201,14.8146
ZAR,AUD,0.0957458,0.0958356,0.0957907
ZAR,BRL,0.261408,0.261774,0.261591
ZAR,CAD,0.0873125,0.087389,0.0873508
ZAR,CHF,0.066926,0.0669879,0.066957
ZAR,CNY,0.46332,0.463905,0.463612
ZAR,DKK,0.437117,0.437548,0.437332
ZAR,EUR,0.0586044,0.0586552,0.0586298
ZAR,GBP,0.0515268,0.0515719,0.0515494
ZAR,HKD,0.528695,0.529144,0.52892
ZAR,INR,5.00881,5.01967,5.01424
